Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
18 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 6 	   	  	 8027.17 	 0.000252465 	 2.02658 	 2.32298
19 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 4 	   	  	 8027.17 	 0.00397701 	 31.9241 	 2.30326
20 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 6 	   	  	 8027.17 	 0.00109283 	 8.77233 	 2.29717
21 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 5 	   	  	 8027.21 	 1.95558e-05 	 0.156979 	 2.30274
22 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 5 	   	  	 8027.21 	 2.36418e-05 	 0.189778 	 2.31258
23 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 4 	   	  	 8047.17 	 0.00919058 	 73.9582 	 2.32055
24 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 4 	   	  	 8047.17 	 0.00275593 	 22.1774 	 2.3157
25 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 3 	   	  	 8047.17 	 0.0206445 	 166.13 	 2.32021
26 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 3 	   	  	 8047.17 	 9.25114e-08 	 0.000744455 	 2.32002
27 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 3 	   	  	 8047.19 	 0.00296575 	 23.866 	 2.33891
28 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	   	  	 8047.2 	 0.00200467 	 16.132 	 2.31861
29 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 2 	   	  	 8047.25 	 1.08143e-07 	 0.000870254 	 3.10762
30 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 2 	   	  	 8047.25 	 2.60586e-05 	 0.2097 	 2.31632
31 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 2 	   	  	 8047.25 	 8.74952e-05 	 0.704096 	 2.31808
32 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 2 	   	  	 8047.25 	 0.000455586 	 3.66621 	 2.3299
33 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 1 	   	  	 8047.28 	 9.19892e-05 	 0.740263 	 2.32331
34 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 1 	   	  	 8047.28 	 4.4802e-05 	 0.360534 	 2.32676
35 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 9 	 1 	   	  	 8047.28 	 2.67101e-07 	 0.00214944 	 2.33088
36 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 1 	   	  	 8047.28 	 7.95628e-06 	 0.0640264 	 3.06371
37 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 1 	   	  	 8047.28 	 1.43994e-09 	 1.15876e-05 	 2.32788
38 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 9 	 4 	   	  	 8810.49 	 3.95749e-12 	 3.48674e-08 	 6.13027
39 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	   	  	 8854 	 3.84464e-10 	 3.40404e-06 	 4.15805
40 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 3 	   	  	 8854 	 6.6232e-10 	 5.86418e-06 	 6.59994
41 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 2 	   	  	 8854.16 	 5.07683e-10 	 4.49511e-06 	 4.45573
42 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 2 	   	  	 8854.16 	 5.80858e-10 	 5.14301e-06 	 7.34038
43 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 7 	 1 	   	  	 8854.2 	 8.52886e-11 	 7.55162e-07 	 7.3749
44 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 1 	   	  	 8854.2 	 1.10119e-10 	 9.75016e-07 	 4.50694
45 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 3 	 1 	   	  	 8854.2 	 4.74868e-11 	 4.20458e-07 	 4.4548
46 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (4s)1 (3d)10 (4d)1  	 1 	 1 	   	  	 8854.2 	 4.69694e-17 	 4.15876e-13 	 4.45762
47 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 7 	 4 	   	  	 8899.81 	 0.000648838 	 5.77453 	 4.17693
48 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 1 	 4 	   	  	 8900.34 	 1.54914e-10 	 1.37879e-06 	 4.18858
49 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 7 	   	  	 8900.35 	 0.0009422 	 8.38591 	 4.20709
50 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 7 	   	  	 8900.35 	 0.000969768 	 8.63127 	 4.19815
51 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 6 	   	  	 8900.38 	 6.83483e-05 	 0.608326 	 4.30328
52 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 6 	   	  	 8900.39 	 0.000178045 	 1.58467 	 4.08766
53 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 5 	   	  	 8900.52 	 4.69734e-05 	 0.418088 	 7.04446
54 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 5 	   	  	 8900.52 	 1.24443e-05 	 0.110761 	 4.35512
55 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 4 	   	  	 8902.77 	 0.00108165 	 9.62968 	 4.08175
56 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 7 	 3 	   	  	 8902.78 	 0.00235592 	 20.9742 	 4.11108
57 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 4 	   	  	 8902.78 	 0.00027727 	 2.46847 	 6.66248
58 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 1 	 3 	   	  	 8902.78 	 6.52062e-09 	 5.80516e-05 	 4.35619
59 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 3 	   	  	 8902.8 	 0.00037875 	 3.37194 	 4.31249
