Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,5,3, 3d ,3,4,8978.63,2.48046e-07,1.58621
 1s ,5,3, 3d ,5,3,8978.64,9.11228e-07,1.58621
 1s ,5,3, 3d ,9,3,8978.64,3.89492e-07,1.58621
 1s ,5,3, 3d ,3,3,8978.64,6.16698e-07,1.58621
 1s ,5,3, 3d ,7,3,8978.64,7.49816e-07,1.58621
 1s ,5,3, 3d ,1,2,8978.65,2.31035e-07,1.58621
 1s ,5,3, 3d ,7,2,8978.74,2.4734e-07,1.58621
 1s ,5,3, 3d ,5,2,8978.74,1.17396e-07,1.58621
 1s ,5,3, 3d ,1,1,8978.74,9.96745e-11,1.58621
 1s ,5,3, 3d ,9,2,8978.75,5.47501e-07,1.58621
 1s ,5,3, 3d ,3,2,8978.75,5.79327e-08,1.58621
 1s ,5,3, 3d ,9,1,8978.76,1.56363e-07,1.58621
 1s ,5,3, 3d ,7,1,8978.76,5.47773e-10,1.58621
 1s ,5,3, 3d ,5,1,8978.77,6.15586e-10,1.58621
 1s ,5,3, 3d ,11,1,8978.78,8.06377e-10,1.58621
 1s ,5,3, 3d ,3,1,8978.79,2.7226e-09,1.58621
 1s ,5,3, 4s ,5,1,8979.47,2.21053e-11,1.58621
 1s ,5,3, 4s ,3,1,8979.47,5.11053e-11,1.58621
 1s ,5,3, 4d ,1,1,8984.53,1.48118e-08,1.58621
 1s ,3,3, 1s ,5,2,0.073103,4.2977799999999994e-21,6.22048
 1s ,3,3, 1s ,3,2,0.0730605,2.04715e-20,7.77684
 1s ,3,3, 1s ,7,1,0.110482,2.7417e-25,8.07057
 1s ,3,3, 1s ,5,1,0.110752,1.76406e-22,6.89815
 1s ,3,3, 1s ,3,1,0.11093,3.0197200000000003e-23,5.31303
 1s ,3,3, 1s ,1,1,0.111031,3.455890000000001e-24,7.87205
 1s ,3,3, 2s ,5,3,7879.63,1.90804e-09,9.77912
 1s ,3,3, 2s ,3,3,7879.63,2.82765e-10,15.6625
 1s ,3,3, 2s ,3,2,7879.76,1.70493e-09,15.5365
 1s ,3,3, 2s ,5,2,7879.76,6.80438e-09,9.54878
 1s ,3,3, 2s ,7,1,7879.8,4.6145e-15,15.3326
 1s ,3,3, 2s ,5,1,7879.8,2.16834e-09,9.93342
 1s ,3,3, 2s ,3,1,7879.8,2.52863e-09,9.6189
 1s ,3,3, 2s ,1,1,7879.8,1.59985e-09,15.9213
 1s ,3,3, 2p ,1,4,8027.07,0.000669538,5.36256
 1s ,3,3, 2p ,3,7,8027.11,0.000845116,4.66801
 1s ,3,3, 2p ,5,7,8027.11,0.00295878,4.66594
 1s ,3,3, 2p ,3,6,8027.16,0.00101635,3.98752
 1s ,3,3, 2p ,7,4,8027.16,1.32432e-13,3.9678
 1s ,3,3, 2p ,5,6,8027.16,0.000909564,3.96171
 1s ,3,3, 2p ,3,5,8027.2,1.28667e-05,3.96728
 1s ,3,3, 2p ,5,5,8027.2,2.10263e-05,3.97712
 1s ,3,3, 2p ,5,4,8047.16,0.00330759,3.98509
 1s ,3,3, 2p ,3,4,8047.16,0.00369325,3.98024
 1s ,3,3, 2p ,7,3,8047.16,6.61639e-08,3.98475
 1s ,3,3, 2p ,1,3,8047.16,0.00245555,3.98456
 1s ,3,3, 2p ,3,3,8047.18,0.000420415,4.00345
 1s ,3,3, 2p ,5,3,8047.19,0.00211836,3.98315
 1s ,3,3, 2p ,1,2,8047.24,2.13136e-08,4.77216
 1s ,3,3, 2p ,3,2,8047.24,4.78932e-06,3.98086
 1s ,3,3, 2p ,5,2,8047.24,4.72495e-06,3.98262
 1s ,3,3, 2p ,7,2,8047.24,1.51695e-07,3.99444
 1s ,3,3, 2p ,7,1,8047.27,5.68549e-08,3.98785
 1s ,3,3, 2p ,5,1,8047.27,6.79569e-07,3.9913
 1s ,3,3, 2p ,9,1,0.0,0.0,3.99542
 1s ,3,3, 2p ,3,1,8047.27,6.2282e-08,4.72825
 1s ,3,3, 2p ,1,1,8047.27,4.23268e-08,3.99242
 1s ,3,3, 3d ,9,4,8810.48,6.90857e-14,7.79481
 1s ,3,3, 3s ,5,3,8853.99,1.24519e-10,5.82259
 1s ,3,3, 3s ,3,3,8853.99,2.84891e-11,8.26448
 1s ,3,3, 3s ,3,2,8854.15,3.94751e-11,6.12027
 1s ,3,3, 3s ,5,2,8854.15,1.46832e-10,9.00492
 1s ,3,3, 3s ,7,1,8854.19,1.55201e-16,9.03944
 1s ,3,3, 3s ,5,1,8854.19,6.62897e-12,6.17148
 1s ,3,3, 3s ,3,1,8854.19,5.91974e-12,6.11934
 1s ,3,3, 3s ,1,1,8854.19,3.14123e-12,6.12216
 1s ,3,3, 3p ,7,4,8899.8,2.13167e-11,5.84147
 1s ,3,3, 3p ,1,4,8900.33,0.000112018,5.85312
 1s ,3,3, 3p ,3,7,8900.34,0.000135849,5.87163
 1s ,3,3, 3p ,5,7,8900.34,0.000408197,5.86269
 1s ,3,3, 3p ,3,6,8900.37,0.000151989,5.96782
 1s ,3,3, 3p ,5,6,8900.38,0.000159187,5.7522
 1s ,3,3, 3p ,3,5,8900.51,2.06382e-07,8.709
 1s ,3,3, 3p ,5,5,8900.51,3.13985e-06,6.01966
 1s ,3,3, 3p ,5,4,8902.76,0.000343819,5.74629
 1s ,3,3, 3p ,7,3,8902.77,7.19524e-09,5.77562
 1s ,3,3, 3p ,3,4,8902.77,0.000440979,8.32702
 1s ,3,3, 3p ,1,3,8902.77,0.000266666,6.02073
