Initial Config Label,Initial Config 2jj,Initial Config eig,Initial Config,Final Config Label,Final Config 2jj,Final Config eig,Final Config,Rate (s-1),Energy (eV)
2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,2.65433E+12,1020.8234200000006
2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,4.92754E+12,1023.3367700000017
2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,6.99973E+05,974.2726600000024
2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,3.66760E+04,1098.8260900000023
3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,1.24619E-01,0.24553999999625375
3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,3.73807E-08,0.10121000000071945
3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,1.90908E+11,77.90146000000095
3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,3.99990E+02,78.1469999999972
3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,1.49084E+02,2.5133500000010827
3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,6.34570E+09,78.00267000000167
3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,1.76477E+10,75.38810999999987
3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,1.60990E+11,75.63364999999612
3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,6.50301E+09,75.48932000000059
3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s2,2.10914E+07,124.45221999999922
3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,3.21371E+07,124.69775999999547
3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s2,1.85795E+10,46.55075999999826
3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s2,4.40429E+10,49.064109999999346
3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s2,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,9.77950E+03,124.55342999999993
4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s2,7.18769E-07,0.1443299999955343
