Initial Config Label,Initial Config 2jj,Initial Config eig,Initial Config,Final Config Label,Final Config 2jj,Final Config eig,Final Config,Rate (s-1),Energy (eV)
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2.01783E-06,0.06440999999904307
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,1,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2.54213E+14,8047.100530000003
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,1,1,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3.37310E+13,8027.114829999999
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,1,2,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.85327E+10,8025.749840000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3.40599E+14,8047.139439999999
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,3,1,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.75030E+11,8045.785580000003
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,3,2,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2.61502E+14,8027.080480000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,5,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2.12311E+10,8047.19051
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.44333E+06,7879.386510000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2s,1,1,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,9.08056E+07,7879.44786
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2s,3,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,6.27539E+08,7879.729030000002
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,6.13669E+06,8978.436780000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,4.02843E+09,8978.550540000004
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,3,1,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,2.46316E+09,8978.40552
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,3,2,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,2.18863E+08,8976.754280000001
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,3.75289E+09,8978.647790000003
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,5,1,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,5.26579E+10,8978.53007
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,5,2,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 5s1,3.57959E+11,8978.04223
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3d,7,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d5 4s1 5s1,1.38864E+07,8978.685409999998
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,1,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s1 5s1,3.28999E+13,8902.701430000001
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,1,1,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s1 5s1,6.80055E+12,8900.438970000003
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,1,2,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s1 5s1,9.76233E+09,8898.968330000003
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,3,0,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s1 5s1,3.87277E+13,8902.891909999998
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,3,1,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s1 5s1,5.64257E+10,8901.28325
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,3,2,1s2 2s2 2p*2 2p4 3s2 3p*1 3p4 3d*4 3d6 4s1 5s1,3.69218E+13,8900.29696
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3p,5,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p3 3d*4 3d6 4s1 5s1,3.36295E+09,8902.96656
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3s,1,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s1 5s1,4.08632E+04,8852.17611
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3s,1,1,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s1 5s1,4.32470E+07,8853.813890000005
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3s,3,0,1s2 2s2 2p*2 2p4 3s1 3p*2 3p4 3d*4 3d6 4s1 5s1,1.54885E+07,8854.122080000001
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,4s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 5s1,2.26181E+06,8979.080030000005
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,5s,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1,7.67985E+05,8983.439490000004
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3.34804E-04,0.23674999999639113
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1s,3,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.13327E-05,0.3011599999954342
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,1,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.44074E+13,8047.33728
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,1,1,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.22815E+12,8027.351579999995
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,1,2,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2.55553E+12,8025.98659
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,3,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.09089E+12,8047.376189999995
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,3,1,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,5.68360E+12,8046.02233
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,3,2,1s2 2s2 2p*1 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.53931E+13,8027.317230000001
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2p,5,0,1s2 2s2 2p*2 2p3 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,1.22819E+09,8047.427259999997
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2s,1,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,4.15269E+08,7879.62326
1s,1,1,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,2s,1,1,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 5s1,3.26925E+08,7879.684609999997
