Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,5,3, 1s ,7,2,0.111814,2.35566e-23,13.6515
 1s ,5,3, 1s ,5,2,0.111813,6.329e-24,11.9754
 1s ,5,3, 1s ,9,1,0.112186,7.2958e-27,11.9878
 1s ,5,3, 1s ,7,1,0.112185,1.28565e-23,15.4039
 1s ,5,3, 1s ,5,1,0.112184,3.74327e-23,11.9654
 1s ,5,3, 1s ,3,1,0.112183,2.55062e-23,13.5966
 1s ,5,3, 1s ,7,3,0.306189,1.58675e-19,12.2336
 1s ,5,3, 2s ,7,3,7879.64,4.56918e-18,73.969
 1s ,5,3, 2s ,5,3,7879.64,8.46622e-15,65.2417
 1s ,5,3, 2s ,7,2,7879.8,1.40407e-09,71.5048
 1s ,5,3, 2s ,5,2,7879.8,4.37364e-10,53.0585
 1s ,5,3, 2s ,5,1,7879.8,1.40406e-09,74.1437
 1s ,5,3, 2s ,3,1,7879.8,1.22497e-09,41.1945
 1s ,5,3, 2s ,9,1,7879.8,4.88285e-23,60.4232
 1s ,5,3, 2s ,7,1,7879.8,1.05874e-09,100.085
 1s ,5,3, 2p ,5,7,8027.16,0.000182283,11.1931
 1s ,5,3, 2p ,7,7,8027.16,0.000584247,12.5091
 1s ,5,3, 2p ,9,4,8027.16,8.11708e-21,13.154
 1s ,5,3, 2p ,7,6,8027.16,0.000443217,13.2207
 1s ,5,3, 2p ,5,6,8027.16,0.000586275,11.1749
 1s ,5,3, 2p ,3,4,8027.16,0.000511166,10.4656
 1s ,5,3, 2p ,7,5,8027.51,8.76452e-11,13.9755
 1s ,5,3, 2p ,5,5,8027.51,7.36239e-15,11.1395
 1s ,5,3, 2p ,9,3,8047.17,2.54225e-16,11.9254
 1s ,5,3, 2p ,7,4,8047.19,0.000712081,11.2187
 1s ,5,3, 2p ,5,4,8047.19,0.00126414,11.155
 1s ,5,3, 2p ,7,3,8047.19,0.00126406,11.2298
 1s ,5,3, 2p ,5,3,8047.19,0.000220195,12.6447
 1s ,5,3, 2p ,7,2,8047.27,2.7183e-08,11.963
 1s ,5,3, 2p ,5,2,8047.27,1.56585e-08,13.4309
 1s ,5,3, 2p ,9,2,8047.27,4.41162e-08,11.1841
 1s ,5,3, 2p ,3,2,8047.27,8.52409e-09,11.2819
 1s ,5,3, 2p ,9,1,8047.27,2.51506e-08,11.9168
 1s ,5,3, 2p ,7,1,8047.27,3.25441e-08,11.9679
 1s ,5,3, 2p ,5,1,8047.27,3.27817e-08,11.9802
 1s ,5,3, 2p ,3,1,8047.27,2.5755e-08,11.2733
 1s ,5,3, 2p ,11,1,0.0,0.0,10.4486
 1s ,5,3, 2p ,1,1,8047.27,1.37809e-08,11.3501
 1s ,5,3, 2p ,3,3,8047.49,1.67949e-11,10.4382
 1s ,5,3, 3s ,5,2,8854.19,1.0628e-12,33.1815
 1s ,5,3, 3s ,7,2,8854.19,3.49479e-12,44.1128
 1s ,5,3, 3s ,9,1,8854.19,3.36167e-24,42.5017
 1s ,5,3, 3s ,7,1,8854.19,2.63473e-12,41.7283
 1s ,5,3, 3s ,5,1,8854.19,3.41063e-12,33.3713
 1s ,5,3, 3s ,3,1,8854.19,2.9241e-12,19.0796
 1s ,5,3, 3s ,7,3,8854.31,6.60545e-16,39.217
 1s ,5,3, 3s ,5,3,8854.31,1.21914e-19,30.4357
 1s ,5,3, 3p ,3,4,8900.34,4.7976e-11,17.5643
 1s ,5,3, 3p ,5,7,8900.38,4.69258e-05,23.5757
 1s ,5,3, 3p ,7,7,8900.38,6.93742e-05,25.3402
 1s ,5,3, 3p ,5,4,8900.38,0.000118568,22.4192
 1s ,5,3, 3p ,7,6,8900.38,8.89544e-05,27.8354
 1s ,5,3, 3p ,5,6,8900.38,7.16427e-05,25.889
 1s ,5,3, 3p ,9,4,8900.38,5.2072000000000004e-20,27.3728
 1s ,5,3, 3p ,9,3,8900.67,8.53259e-17,24.3882
 1s ,5,3, 3p ,3,3,8900.67,1.072e-10,17.5259
 1s ,5,3, 3p ,7,5,8900.69,9.3397e-12,27.671
 1s ,5,3, 3p ,5,5,8900.83,1.08861e-16,25.5491
 1s ,5,3, 3p ,7,4,8902.79,2.97792e-05,25.5503
 1s ,5,3, 3p ,7,3,8902.79,0.000198604,27.3696
 1s ,5,3, 3p ,7,2,8903.04,4.74644e-09,28.2272
 1s ,5,3, 3p ,5,2,8903.04,4.00351e-09,26.1585
 1s ,5,3, 3p ,9,2,8903.04,4.94758e-17,28.0835
 1s ,5,3, 3p ,7,1,8903.04,4.10564e-09,28.4782
 1s ,5,3, 3p ,3,2,8903.04,2.4546e-09,18.1887
 1s ,5,3, 3p ,5,1,8903.04,3.02955e-09,26.743
 1s ,5,3, 3p ,11,1,0.0,0.0,25.4365
 1s ,5,3, 3p ,3,1,8903.04,2.30044e-09,18.3109
 1s ,5,3, 3p ,1,1,8903.04,2.16292e-09,12.946
 1s ,5,3, 3p ,5,3,8903.1,3.74718e-11,25.2558
 1s ,5,3, 3p ,9,1,8903.34,2.03217e-15,30.4305
 1s ,5,3, 3d ,7,8,8978.16,1.31605e-06,9.71184
 1s ,5,3, 3d ,9,7,8978.16,8.65552e-08,9.71183
 1s ,5,3, 3d ,5,8,8978.16,1.05607e-06,9.71196
 1s ,5,3, 3d ,7,7,8978.16,4.65456e-07,9.71196
 1s ,5,3, 3d ,3,7,8978.16,7.11022e-07,9.71183
 1s ,5,3, 3d ,5,7,8978.16,2.80182e-07,9.71183
 1s ,5,3, 3d ,9,6,8978.16,2.13938e-06,9.71189
 1s ,5,3, 3d ,3,6,8978.16,1.79795e-07,9.71184
 1s ,5,3, 3d ,1,4,8978.16,4.45331e-07,9.71185
 1s ,5,3, 3d ,11,4,8978.45,3.1736800000000004e-18,9.71195
 1s ,5,3, 3d ,7,6,8978.52,7.11597e-12,9.71183
 1s ,5,3, 3d ,5,6,8978.52,6.19654e-11,9.71183
 1s ,5,3, 3d ,9,5,8978.52,3.50183e-13,9.71183
 1s ,5,3, 3d ,7,5,8978.52,8.3798e-11,9.71183
 1s ,5,3, 3d ,3,5,8978.52,4.34863e-11,9.71185
 1s ,5,3, 3d ,5,5,8978.52,1.20088e-12,9.71183
 1s ,5,3, 3d ,11,3,8978.63,5.2535e-18,9.71183
 1s ,5,3, 3d ,9,4,8978.64,9.97022e-09,9.71183
 1s ,5,3, 3d ,7,4,8978.64,1.2415e-07,9.71183
 1s ,5,3, 3d ,7,3,8978.64,4.74324e-09,9.71184
 1s ,5,3, 3d ,5,4,8978.64,8.42352e-08,9.71184
 1s ,5,3, 3d ,3,4,8978.65,5.51398e-08,9.71186
 1s ,5,3, 3d ,5,3,8978.65,1.22797e-08,9.71183
 1s ,5,3, 3d ,9,3,8978.65,1.5202e-07,9.71183
 1s ,5,3, 3d ,1,3,8978.65,3.22058e-08,9.71184
 1s ,5,3, 3d ,3,3,8978.65,9.20333e-09,9.71184
 1s ,5,3, 3d ,7,2,8978.76,4.15384e-11,9.71183
 1s ,5,3, 3d ,9,2,8978.76,3.5271e-11,9.71183
 1s ,5,3, 3d ,9,1,8978.76,5.34761e-11,9.71183
 1s ,5,3, 3d ,11,2,8978.76,3.10306e-12,9.71183
 1s ,5,3, 3d ,5,2,8978.76,2.74499e-11,9.71183
 1s ,5,3, 3d ,7,1,8978.76,2.61983e-11,9.71183
 1s ,5,3, 3d ,3,2,8978.76,1.43353e-11,9.71185
 1s ,5,3, 3d ,11,1,8978.76,9.66488e-11,9.71183
 1s ,5,3, 3d ,5,1,8978.76,2.29642e-11,9.71183
 1s ,5,3, 3d ,13,1,0.0,0.0,9.71183
 1s ,5,3, 3d ,1,2,8978.77,3.75836e-12,9.71189
 1s ,5,3, 3d ,3,1,8978.77,1.93899e-11,9.71183
 1s ,5,3, 3d ,1,1,8978.77,1.29973e-11,9.71184
 1s ,5,3, 4s ,7,1,8979.5,6.42419e-15,9.71183
 1s ,5,3, 4s ,5,1,8979.5,7.30909e-17,9.71183
 1s ,5,3, 5f ,1,1,8985.52,1.18122e-12,9.71183
 1s ,7,2, 1s ,5,2,8.52973e-07,1.1517400000000002e-34,6.20332
 1s ,7,2, 1s ,9,1,0.000371885,1.09764e-30,6.21569
 1s ,7,2, 1s ,7,1,0.000370649,7.96784e-31,9.6318
 1s ,7,2, 1s ,5,1,0.000369442,3.97761e-31,6.19326
 1s ,7,2, 1s ,3,1,0.000368364,1.07376e-38,7.82444
 1s ,7,2, 1s ,7,3,0.194374,5.8731300000000005e-24,6.4615
 1s ,7,2, 2s ,7,3,7879.52,2.65794e-09,68.1969
 1s ,7,2, 2s ,5,3,7879.52,3.52776e-09,59.4696
 1s ,7,2, 2s ,7,2,7879.69,3.44055e-09,65.7327
 1s ,7,2, 2s ,5,2,7879.69,4.6053e-09,47.2864
 1s ,7,2, 2s ,5,1,7879.69,3.59848e-10,68.3716
 1s ,7,2, 2s ,3,1,7879.69,2.5670999999999996e-21,35.4224
 1s ,7,2, 2s ,9,1,7879.69,2.53793e-09,54.6511
 1s ,7,2, 2s ,7,1,7879.69,1.15757e-09,94.3124
 1s ,7,2, 2p ,5,7,8027.05,0.00190557,5.42096
 1s ,7,2, 2p ,7,7,8027.05,0.00142141,6.73696
 1s ,7,2, 2p ,9,4,8027.05,0.00103952,7.38184
 1s ,7,2, 2p ,7,6,8027.05,0.000476468,7.44861
 1s ,7,2, 2p ,5,6,8027.05,0.000148014,5.40277
 1s ,7,2, 2p ,3,4,8027.05,6.56268e-13,4.69351
 1s ,7,2, 2p ,7,5,8027.4,5.80847e-11,8.20342
 1s ,7,2, 2p ,5,5,8027.4,2.4533e-10,5.3674
 1s ,7,2, 2p ,9,3,8047.06,0.000512575,6.15329
 1s ,7,2, 2p ,7,4,8047.07,0.000182802,5.4466
 1s ,7,2, 2p ,5,4,8047.07,0.00014451,5.38289
 1s ,7,2, 2p ,7,3,8047.07,0.000755869,5.45764
 1s ,7,2, 2p ,5,3,8047.07,0.000865651,6.87259
 1s ,7,2, 2p ,7,2,8047.16,0.00346952,6.19084
 1s ,7,2, 2p ,5,2,8047.16,0.00108378,7.65873
