Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,5,3, 1s ,3,3,0.000619070857495,9.29802e-26,2.80901
 1s ,5,3, 1s ,3,2,0.0820053773702,8.87696e-23,2.94899
 1s ,5,3, 1s ,5,2,0.0820677507427,7.91594e-21,2.95025
 1s ,5,3, 1s ,7,1,0.101031362363,9.88399e-21,2.98151
 1s ,5,3, 1s ,5,1,0.101178303681,8.85963e-20,2.92778
 1s ,5,3, 1s ,3,1,0.101275406358,7.53176e-21,2.85963
 1s ,5,3, 1s ,1,1,0.101330826985,1.24656e-22,2.83762
 1s ,5,3, 2s ,3,3,7879.62816113,1.23546e-11,7.62982
 1s ,5,3, 2s ,5,3,7879.62839131,6.90259e-10,7.86991
 1s ,5,3, 2s ,3,2,7879.77094566,1.21656e-08,7.88096
 1s ,5,3, 2s ,5,2,7879.77100795,8.99145e-09,8.0476
 1s ,5,3, 2s ,7,1,7879.79195119,1.97456e-08,7.21888
 1s ,5,3, 2s ,5,1,7879.79208842,1.00398e-08,7.97786
 1s ,5,3, 2s ,3,1,7879.79217995,2.92874e-09,7.63415
 1s ,5,3, 2s ,1,1,7879.79223233,3.31685e-18,7.39576
 1s ,5,3, 2p ,7,3,8023.40152073,9.4058e-05,16.5084
 1s ,5,3, 2p ,3,7,8027.12770536,0.00465433,2.10915
 1s ,5,3, 2p ,5,7,8027.12784634,0.00398506,2.102
 1s ,5,3, 2p ,1,4,8027.14878079,6.28784e-16,2.04057
 1s ,5,3, 2p ,3,6,8027.14957112,0.00135493,2.09193
 1s ,5,3, 2p ,7,4,8027.1501326,0.00826688,2.07312
 1s ,5,3, 2p ,5,6,8027.15037413,0.00419766,2.03785
 1s ,5,3, 2p ,3,5,8027.18652282,0.000191687,2.11228
 1s ,5,3, 2p ,5,5,8027.18666192,1.4262e-05,2.07391
 1s ,5,3, 2p ,1,3,8027.82419698,9.77657e-14,2.05147
 1s ,5,3, 2p ,5,4,8047.16255478,0.00800824,2.12879
 1s ,5,3, 2p ,3,4,8047.16314737,0.0020294,2.10906
 1s ,5,3, 2p ,3,3,8047.17485047,0.00686603,2.1261
 1s ,5,3, 2p ,5,3,8047.1763029,0.00605873,2.14093
 1s ,5,3, 2p ,1,2,8047.2418124,1.56013e-07,2.132
 1s ,5,3, 2p ,3,2,8047.24206593,1.93901e-06,2.13472
 1s ,5,3, 2p ,5,2,8047.24271767,1.15775e-05,2.13534
 1s ,5,3, 2p ,7,2,8047.24307962,0.000166988,2.12896
 1s ,5,3, 2p ,7,1,8047.25845861,0.000151998,2.12077
 1s ,5,3, 2p ,5,1,8047.25882435,4.24581e-05,2.12123
 1s ,5,3, 2p ,9,1,8047.25933892,5.56563e-07,2.10514
 1s ,5,3, 2p ,3,1,8047.25967156,5.30879e-06,2.08932
 1s ,5,3, 2p ,1,1,8047.26040363,7.59182e-09,2.0709
 1s ,5,3, 3p ,7,4,8181.54270618,9.98778e-06,159.445
 1s ,5,3, 3s ,3,3,8847.7780715,1.69432e-12,4.51329
 1s ,5,3, 3s ,5,3,8853.98972744,4.67705e-11,3.97075
 1s ,5,3, 3s ,3,2,8854.16122729,9.0284e-11,4.43485
 1s ,5,3, 3s ,5,2,8854.16129612,2.82227e-11,4.29899
 1s ,5,3, 3s ,7,1,8854.18206575,4.03107e-14,4.26582
 1s ,5,3, 3s ,5,1,8854.18220001,2.93339e-11,4.32165
 1s ,5,3, 3s ,3,1,8854.18229454,2.09702e-11,4.43241
 1s ,5,3, 3s ,1,1,8854.1823508,4.38618e-21,4.58672
 1s ,5,3, 3p ,1,4,8900.25598796,2.10611e-11,3.68245
 1s ,5,3, 3p ,3,7,8900.34799348,0.000683454,4.05283
 1s ,5,3, 3p ,5,7,8900.34837547,0.000620434,4.0386
 1s ,5,3, 3p ,3,6,8900.36675509,0.000241003,3.84539
 1s ,5,3, 3p ,5,6,8900.36842818,0.000619037,3.92567
 1s ,5,3, 3p ,3,5,8900.50409836,3.4286e-06,4.20622
 1s ,5,3, 3p ,5,5,8900.50489684,2.40153e-06,4.14695
 1s ,5,3, 3p ,5,4,8902.76869122,0.00101404,3.89612
 1s ,5,3, 3p ,3,4,8902.77020774,0.000107984,4.01791
 1s ,5,3, 3p ,7,3,8902.77136432,0.00246617,3.95421
 1s ,5,3, 3p ,1,3,8902.77293907,2.46509e-12,4.09412
 1s ,5,3, 3p ,3,3,8902.77801771,0.000863915,4.13896
 1s ,5,3, 3p ,5,3,8902.78098042,0.000592887,4.10076
 1s ,5,3, 3p ,3,2,8903.00711078,3.29448e-06,4.07148
 1s ,5,3, 3p ,5,2,8903.00752815,4.68332e-06,3.99215
 1s ,5,3, 3p ,1,2,8903.00764856,2.50546e-08,4.19876
 1s ,5,3, 3p ,7,2,8903.0096328,2.92676e-06,4.01315
 1s ,5,3, 3p ,7,1,8903.02350046,1.86085e-05,3.94602
 1s ,5,3, 3p ,5,1,8903.02461073,5.58319e-06,3.88716
 1s ,5,3, 3p ,9,1,8903.02760324,8.68979e-08,4.00274
 1s ,5,3, 3p ,3,1,8903.0280585,8.27922e-07,3.69471
 1s ,5,3, 3p ,1,1,8903.03104027,1.63885e-09,3.58804
 1s ,5,3, 3d ,5,8,8978.13119332,6.77406e-06,1.38416
