Initial Config Label,Initial Config 2jj,Initial Config eig,Initial Config,Final Config Label,Final Config 2jj,Final Config eig,Final Config,Intensity (a.u.),Energy (eV),Energy width (eV)
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,2s,1,2,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,1.1734260550456644e-11,7877.430769999999,8.681511230550099
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,2s,3,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,2.595485989336984e-09,7879.601719999999,10.539728981216046
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,2s,3,1,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3.0610089336283055e-10,7879.452440000001,10.00604985953283
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,2s,3,2,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,1.9347785012680643e-10,7870.257250000002,48.25550408028212
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,2s,5,0,1s2 2s1 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,6.676435660166002e-10,7879.569279999996,10.376450819106948
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,1,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,8.297747784127244e-14,8978.60841,3.5127651085624483
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,1,1,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,3.4083125034444114e-13,8978.118139999999,3.51276510927892
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,1,2,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,4.726745059753329e-13,8977.965190000003,3.512765114901031
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,1,3,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,2.386060781245372e-15,8975.43002,3.5127651270779956
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,0,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,5.0405237323301954e-08,8978.70564,3.5127651085806058
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,1,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,5.009403508670295e-07,8978.45392,3.5127651085191434
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,2,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,3.900536693324509e-08,8978.15885,3.512765108570762
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,3,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,7.210788481975056e-09,8977.936990000002,3.5127651122976444
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,4,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,4.9776899239973103e-08,8977.907829999996,3.512765112428339
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,5,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,3.230491576681269e-10,8976.338920000002,3.5127651105933437
1s,1,0,1s1 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*4 3d6 4s1 4p1,3d,3,6,1s2 2s2 2p*2 2p4 3s2 3p*2 3p4 3d*3 3d6 4s1 4p1,2.5209567231409456e-10,8975.706659999996,3.5127651127523474
