Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,1,3, 1s ,3,2,0.0194209571574,1.35755e-23,3.00156
 1s ,1,3, 1s ,1,2,0.0212486240034,2.31433e-23,3.01586
 1s ,1,3, 1s ,5,1,0.233696691075,7.60517e-20,2.82843
 1s ,1,3, 1s ,3,1,0.238620294067,1.08836e-18,2.98078
 1s ,1,3, 1s ,1,1,0.241147067508,4.0413800000000004e-18,3.04103
 1s ,1,3, 2s ,1,3,7879.44434536,1.85299e-09,8.71789
 1s ,1,3, 2s ,3,3,7879.51517555,4.61095e-09,8.35187
 1s ,1,3, 2s ,3,2,7879.69012131,8.78714e-09,8.36007
 1s ,1,3, 2s ,1,2,7879.69684814,2.76297e-10,8.16144
 1s ,1,3, 2s ,5,1,7879.9117976,9.91514e-13,7.14843
 1s ,1,3, 2s ,3,1,7879.91644877,1.3157e-08,8.58806
 1s ,1,3, 2s ,1,1,7879.91909631,2.23797e-09,7.91553
 1s ,1,3, 2p ,5,4,8021.99377461,4.83487e-17,32.3169
 1s ,1,3, 2p ,1,6,8026.93481694,0.000320304,2.20471
 1s ,1,3, 2p ,3,7,8026.9373328,0.00267482,2.24649
 1s ,1,3, 2p ,1,5,8027.27036864,0.00105705,2.24567
 1s ,1,3, 2p ,3,6,8027.27688203,0.00510544,2.21827
 1s ,1,3, 2p ,1,4,8027.29887941,3.70347e-06,2.28698
 1s ,1,3, 2p ,3,5,8027.30398015,0.00120244,2.18612
 1s ,1,3, 2p ,3,4,8046.99741184,0.00355417,2.27836
 1s ,1,3, 2p ,5,3,8047.00132271,1.73983e-07,2.27133
 1s ,1,3, 2p ,1,3,8047.00309511,0.00314288,2.26004
 1s ,1,3, 2p ,1,2,8047.28617058,0.000210984,2.17291
 1s ,1,3, 2p ,3,3,8047.29930666,0.00415672,2.20161
 1s ,1,3, 2p ,1,1,8047.32369934,0.00533952,2.22818
 1s ,1,3, 2p ,5,2,8047.33367172,1.5287e-07,2.2085
 1s ,1,3, 2p ,3,2,8047.33646085,0.00164054,2.23355
 1s ,1,3, 2p ,5,1,8047.3810274,4.19464e-07,2.25955
 1s ,1,3, 2p ,7,1,0.0,0.0,2.18736
 1s ,1,3, 2p ,3,1,8047.39097038,0.00175598,2.26674
 1s ,1,3, 3s ,3,3,8853.90119258,1.25204e-10,4.32781
 1s ,1,3, 3s ,1,3,8853.90740979,5.56563e-11,4.72843
 1s ,1,3, 3s ,1,2,8854.07650517,1.16285e-11,5.14736
 1s ,1,3, 3s ,3,2,8854.07947331,1.44544e-10,4.76454
 1s ,1,3, 3s ,5,1,8854.30766205,4.28948e-14,4.24191
 1s ,1,3, 3s ,3,1,8854.31248099,1.70695e-10,4.58204
 1s ,1,3, 3s ,1,1,8854.31529895,1.58466e-10,4.56778
 1s ,1,3, 3p ,1,6,8900.17778899,5.10614e-05,4.3006
 1s ,1,3, 3p ,3,7,8900.18131876,0.000405248,4.67919
 1s ,1,3, 3p ,3,5,8900.41823793,0.00131176,4.7964
 1s ,1,3, 3p ,1,5,8900.48972169,0.00018356,4.1567
 1s ,1,3, 3p ,3,6,8900.49869699,0.000820072,4.36959
 1s ,1,3, 3p ,1,4,8900.61345422,1.41039e-05,4.30762
 1s ,1,3, 3p ,3,4,8902.66358193,0.000486161,4.21568
 1s ,1,3, 3p ,1,3,8902.69601471,0.000613404,4.25417
 1s ,1,3, 3p ,5,3,8902.75921467,1.11454e-10,4.42938
 1s ,1,3, 3p ,1,1,8902.83253586,0.00101809,4.1728
 1s ,1,3, 3p ,1,2,8902.88084475,4.28674e-05,4.01725
 1s ,1,3, 3p ,3,3,8902.90533369,0.00054454,4.04503
 1s ,1,3, 3p ,5,2,8903.04445614,3.40401e-08,4.13492
 1s ,1,3, 3p ,3,2,8903.04518014,1.80194e-05,4.13434
 1s ,1,3, 3p ,5,1,8903.14201329,6.84204e-08,4.41321
 1s ,1,3, 3p ,7,1,0.0,0.0,4.24589
 1s ,1,3, 3p ,3,1,8903.17771244,0.000238179,4.21944
 1s ,1,3, 3p ,5,4,8903.43742833,5.22389e-09,4.52509
